2 (0.0°) 	1030.0	685.0	225.0	 distance:	1236.9822149085248	 rand: 1.0
2 (0.0°) 	1030.0	495.0	225.0	 distance:	1142.7707556636196	 rand: 1.0
1 (0.0°) 	1080.0	300.0	250.0	 distance:	1120.8925015361642	 rand: 1.0
1 (0.0°) 	1080.0	100.0	250.0	 distance:	1084.6197490364998	 rand: 1.0
2 (0.0°) 	810.0	685.0	225.0	 distance:	1060.8133671857647	 rand: 1.0
2 (0.0°) 	810.0	495.0	225.0	 distance:	949.2760399378044	 rand: 1.0
2 (0.0°) 	590.0	685.0	225.0	 distance:	904.0602856004681	 rand: 1.0
1 (0.0°) 	840.0	300.0	250.0	 distance:	891.9641248391104	 rand: 1.0
1 (0.0°) 	840.0	100.0	250.0	 distance:	845.931439302264	 rand: 1.0
1 (0.0°) 	360.0	700.0	250.0	 distance:	787.1467461661771	 rand: 1.0
2 (0.0°) 	590.0	495.0	225.0	 distance:	770.1460900374682	 rand: 1.0
1 (0.0°) 	120.0	700.0	250.0	 distance:	710.2112361825881	 rand: 1.0
1 (0.0°) 	600.0	300.0	250.0	 distance:	670.820393249937	 rand: 1.0
1 (0.0°) 	360.0	500.0	250.0	 distance:	616.1168720299745	 rand: 1.0
1 (0.0°) 	600.0	100.0	250.0	 distance:	608.276253029822	 rand: 1.0
1 (0.0°) 	120.0	500.0	250.0	 distance:	514.1984052872976	 rand: 1.0
2 (0.0°) 	370.0	305.0	225.0	 distance:	479.5049530505394	 rand: 1.0
2 (0.0°) 	370.0	115.0	225.0	 distance:	387.45967532118743	 rand: 1.0
2 (0.0°) 	150.0	305.0	225.0	 distance:	339.8896879871468	 rand: 1.0
2 (0.0°) 	150.0	115.0	225.0	 distance:	189.01058171435798	 rand: 1.0
2 (0.0°) 	1030.0	685.0	675.0	 distance:	1236.9822149085248	 rand: 2.0
2 (0.0°) 	1030.0	495.0	675.0	 distance:	1142.7707556636196	 rand: 2.0
1 (0.0°) 	1080.0	300.0	750.0	 distance:	1120.8925015361642	 rand: 2.0
1 (0.0°) 	1080.0	100.0	750.0	 distance:	1084.6197490364998	 rand: 2.0
2 (0.0°) 	810.0	685.0	675.0	 distance:	1060.8133671857647	 rand: 2.0
2 (0.0°) 	810.0	495.0	675.0	 distance:	949.2760399378044	 rand: 2.0
2 (0.0°) 	590.0	685.0	675.0	 distance:	904.0602856004681	 rand: 2.0
1 (0.0°) 	840.0	300.0	750.0	 distance:	891.9641248391104	 rand: 2.0
1 (0.0°) 	840.0	100.0	750.0	 distance:	845.931439302264	 rand: 2.0
1 (0.0°) 	360.0	700.0	750.0	 distance:	787.1467461661771	 rand: 2.0
2 (0.0°) 	590.0	495.0	675.0	 distance:	770.1460900374682	 rand: 2.0
1 (0.0°) 	120.0	700.0	750.0	 distance:	710.2112361825881	 rand: 2.0
1 (0.0°) 	600.0	300.0	750.0	 distance:	670.820393249937	 rand: 2.0
1 (0.0°) 	360.0	500.0	750.0	 distance:	616.1168720299745	 rand: 2.0
1 (0.0°) 	600.0	100.0	750.0	 distance:	608.276253029822	 rand: 2.0
1 (0.0°) 	120.0	500.0	750.0	 distance:	514.1984052872976	 rand: 2.0
2 (0.0°) 	370.0	305.0	675.0	 distance:	479.5049530505394	 rand: 2.0
2 (0.0°) 	370.0	115.0	675.0	 distance:	387.45967532118743	 rand: 2.0
2 (0.0°) 	150.0	305.0	675.0	 distance:	339.8896879871468	 rand: 2.0
2 (0.0°) 	150.0	115.0	675.0	 distance:	189.01058171435798	 rand: 2.0
2 (0.0°) 	1030.0	685.0	1125.0	 distance:	1236.9822149085248	 rand: 3.0
2 (0.0°) 	1030.0	495.0	1125.0	 distance:	1142.7707556636196	 rand: 3.0
1 (0.0°) 	1080.0	300.0	1250.0	 distance:	1120.8925015361642	 rand: 3.0
1 (0.0°) 	1080.0	100.0	1250.0	 distance:	1084.6197490364998	 rand: 3.0
2 (0.0°) 	810.0	685.0	1125.0	 distance:	1060.8133671857647	 rand: 3.0
2 (0.0°) 	810.0	495.0	1125.0	 distance:	949.2760399378044	 rand: 3.0
2 (0.0°) 	590.0	685.0	1125.0	 distance:	904.0602856004681	 rand: 3.0
1 (0.0°) 	840.0	300.0	1250.0	 distance:	891.9641248391104	 rand: 3.0
1 (0.0°) 	840.0	100.0	1250.0	 distance:	845.931439302264	 rand: 3.0
1 (0.0°) 	360.0	700.0	1250.0	 distance:	787.1467461661771	 rand: 3.0
2 (0.0°) 	590.0	495.0	1125.0	 distance:	770.1460900374682	 rand: 3.0
1 (0.0°) 	120.0	700.0	1250.0	 distance:	710.2112361825881	 rand: 3.0
1 (0.0°) 	600.0	300.0	1250.0	 distance:	670.820393249937	 rand: 3.0
1 (0.0°) 	360.0	500.0	1250.0	 distance:	616.1168720299745	 rand: 3.0
1 (0.0°) 	600.0	100.0	1250.0	 distance:	608.276253029822	 rand: 3.0
1 (0.0°) 	120.0	500.0	1250.0	 distance:	514.1984052872976	 rand: 3.0
2 (0.0°) 	370.0	305.0	1125.0	 distance:	479.5049530505394	 rand: 3.0
2 (0.0°) 	370.0	115.0	1125.0	 distance:	387.45967532118743	 rand: 3.0
2 (0.0°) 	150.0	305.0	1125.0	 distance:	339.8896879871468	 rand: 3.0
2 (0.0°) 	150.0	115.0	1125.0	 distance:	189.01058171435798	 rand: 3.0
2 (0.0°) 	1030.0	685.0	1575.0	 distance:	1236.9822149085248	 rand: 4.0
